#m_min m_max f_occ survey_ID p_value
10.000000 10.100000 0.500000 1 2.312927e-06
10.000000 10.100000 0.500000 2 2.312927e-06
10.000000 10.100000 0.500000 3 2.312927e-06
10.000000 10.100000 0.500000 4 2.312927e-06
10.000000 10.100000 0.500000 5 2.312927e-06
10.000000 10.100000 0.500000 6 2.312927e-06
10.000000 10.100000 0.500000 7 2.312927e-06
10.000000 10.100000 0.500000 8 2.312927e-06
10.000000 10.100000 0.500000 9 2.312927e-06
10.000000 10.100000 0.500000 10 2.312927e-06
10.000000 10.100000 0.500000 11 2.312927e-06
10.000000 10.100000 0.500000 12 2.312927e-06
10.000000 10.100000 0.500000 13 2.312927e-06
10.000000 10.100000 0.500000 14 2.312927e-06
10.000000 10.100000 0.600000 0 2.312927e-06
10.000000 10.100000 0.600000 1 2.312927e-06
10.000000 10.100000 0.600000 2 2.312927e-06
10.000000 10.100000 0.600000 3 2.312927e-06
10.000000 10.100000 0.600000 4 2.312927e-06
10.000000 10.100000 0.600000 5 2.312927e-06
10.000000 10.100000 0.600000 6 2.312927e-06
10.000000 10.100000 0.600000 7 2.312927e-06
10.000000 10.100000 0.600000 8 2.312927e-06
10.000000 10.100000 0.600000 9 2.312927e-06
10.000000 10.100000 0.600000 10 2.312927e-06
10.000000 10.100000 0.600000 11 2.312927e-06
10.000000 10.100000 0.600000 12 2.312927e-06
10.000000 10.100000 0.600000 13 2.312927e-06
10.000000 10.100000 0.600000 14 2.312927e-06
10.000000 10.100000 0.700000 0 2.312927e-06
10.000000 10.100000 0.700000 1 2.312927e-06
10.000000 10.100000 0.700000 2 2.312927e-06
10.000000 10.100000 0.700000 3 2.312927e-06
10.000000 10.100000 0.700000 4 2.312927e-06
10.000000 10.100000 0.700000 5 2.312927e-06
10.000000 10.100000 0.700000 6 2.312927e-06
10.000000 10.100000 0.700000 7 2.312927e-06
10.000000 10.100000 0.700000 8 2.312927e-06
10.000000 10.100000 0.700000 9 2.312927e-06
10.000000 10.100000 0.700000 10 2.312927e-06
10.000000 10.100000 0.700000 11 2.312927e-06
10.000000 10.100000 0.700000 12 2.312927e-06
10.000000 10.100000 0.700000 13 2.312927e-06
10.000000 10.100000 0.700000 14 2.312927e-06
10.000000 10.100000 0.800000 0 2.312927e-06
10.000000 10.100000 0.800000 1 2.312927e-06
10.000000 10.100000 0.800000 2 2.312927e-06
10.000000 10.100000 0.800000 3 2.312927e-06
10.000000 10.100000 0.800000 4 2.312927e-06
10.000000 10.100000 0.800000 5 2.312927e-06
